Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
X#X#,Withdrawal from BANKACCT MOBILE PMT,08/05/24,Debit,533.33,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,08/05/24,Debit,88.89,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,08/05/24,Debit,129.63,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,08/05/24,Debit,70.84,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,08/05/24,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,08/05/24,Debit,24.44,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 456462,08/01/24,Credit,1005.54,XX.XX
X#X#,Monthly Interest Paid,07/31/24,Credit,0.02,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,07/31/24,Debit,5.51,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,07/31/24,Debit,77.78,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,07/28/24,Credit,22.22,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,07/18/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,07/18/24,Debit,44.44,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,07/16/24,Debit,666.67,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,07/16/24,Debit,222.22,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,07/16/24,Debit,88.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,07/15/24,Debit,25.33,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 866455,07/15/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,07/08/24,Debit,71.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,07/03/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,07/03/24,Debit,44.44,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,07/02/24,Debit,888.89,XX.XX
X#X#,Birthday - Check Deposit (Mobile),07/01/24,Credit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,07/01/24,Debit,6.67,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 481319,07/01/24,Credit,1005.54,XX.XX
X#X#,Deposit from VENMO CASHOUT,07/01/24,Credit,44.44,XX.XX
X#X#,Monthly Interest Paid,06/30/24,Credit,0.03,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/24/24,Debit,9.33,XX.XX
X#X#,Check #329 Cashed,06/20/24,Debit,22.22,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,06/18/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,06/18/24,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/17/24,Debit,8.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/17/24,Debit,4.44,XX.XX
X#X#,Deposit from VENMO CASHOUT,06/17/24,Credit,17.78,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,06/15/24,Debit,444.44,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,06/14/24,Debit,133.33,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 062182,06/14/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/13/24,Debit,13.33,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/10/24,Debit,122.67,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,06/08/24,Credit,133.33,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/07/24,Debit,17.78,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,06/06/24,Credit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/06/24,Debit,36.55,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/06/24,Debit,29.34,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,06/04/24,Debit,62.22,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,06/03/24,Debit,555.56,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,06/03/24,Debit,444.44,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,06/03/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,06/03/24,Debit,44.44,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,06/02/24,Debit,155.56,XX.XX
X#X#,Monthly Interest Paid,05/31/24,Credit,0.08,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 532011,05/31/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from BANKACCT ONLINE PMT,05/29/24,Debit,222.22,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,05/28/24,Debit,133.33,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/28/24,Debit,18.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/28/24,Debit,17.78,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/28/24,Debit,15.11,XX.XX
X#X#,Deposit from VENMO CASHOUT,05/28/24,Credit,17.78,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,05/27/24,Debit,88.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/24/24,Debit,35.11,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/24/24,Debit,7.56,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/23/24,Debit,19.56,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,05/22/24,Debit,222.22,XX.XX
X#X#,Deposit from VENMO CASHOUT,05/22/24,Credit,360.44,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,05/22/24,Debit,444.44,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,05/20/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,05/20/24,Debit,44.44,XX.XX
X#X#,Zelle money sent to TERRANCE WILLIAMS,05/17/24,Debit,220.0,XX.XX
X#X#,Zelle money sent to TERRANCE WILLIAMS,05/16/24,Debit,2.22,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 091166,05/15/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/13/24,Debit,29.78,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/13/24,Debit,11.11,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/13/24,Debit,10.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/13/24,Debit,5.42,XX.XX
X#X#,Withdrawal from BANKACCT ONLINE PMT,05/09/24,Debit,222.22,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/07/24,Debit,6.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/06/24,Debit,4.44,XX.XX
X#X#,Deposit from VENMO CASHOUT,05/06/24,Credit,173.78,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,05/03/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,05/03/24,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/03/24,Debit,43.78,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 725824,05/01/24,Credit,1005.54,XX.XX
X#X#,Monthly Interest Paid,04/30/24,Credit,0.04,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,04/29/24,Debit,355.56,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/29/24,Debit,0.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/25/24,Debit,2.22,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/25/24,Debit,11.11,XX.XX
X#X#,Zelle money sent to SUPERDESIGNS LLC,04/25/24,Debit,8.89,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,04/22/24,Debit,519.08,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,04/18/24,Debit,129.63,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/18/24,Debit,92.89,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,04/18/24,Debit,44.44,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 228775,04/15/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/11/24,Debit,31.11,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,04/03/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,04/03/24,Debit,44.44,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,04/03/24,Debit,888.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/01/24,Debit,54.22,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/01/24,Debit,31.11,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 753872,04/01/24,Credit,1005.54,XX.XX
X#X#,Deposit from VENMO CASHOUT,04/01/24,Credit,193.78,XX.XX
X#X#,Monthly Interest Paid,03/31/24,Credit,0.05,XX.XX
X#X#,Zelle money sent to TERRANCE WILLIAMS,03/29/24,Debit,86.67,XX.XX
X#X#,Zelle money sent to TERRANCE WILLIAMS,03/29/24,Debit,2.22,XX.XX
X#X#,Deposit from VENMO CASHOUT,03/28/24,Credit,133.33,XX.XX
X#X#,Withdrawal from BANKACCT MOBILE PMT,03/26/24,Debit,888.89,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,03/18/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,03/18/24,Debit,44.44,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 257821,03/15/24,Credit,1005.54,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,03/11/24,Debit,124.44,XX.XX
X#X#,Withdrawal from BANKACCT ONLINE PMT,03/07/24,Debit,637.92,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,03/04/24,Debit,129.63,XX.XX
X#X#,Withdrawal from INVESTACCT BUY INVESTMENT,03/04/24,Debit,44.44,XX.XX
X#X#,Deposit from OTHEREMPLOYER PAY 916837,03/01/24,Credit,925.01,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,03/01/24,Debit,20.0,XX.XX
X#X#,Monthly Interest Paid,02/29/24,Credit,0.04,XX.XX
